date,description,amount,source_account,raw_category
2025-01-01,Rent,-1766.18,Checking,Rent
2025-01-01,Client payment,1375.51,Checking,Sales Income
2025-01-01,Shop supplies,-145.68,Checking,Supplies
2025-01-01,Meals,-130.35,Business Checking,Meals
2025-01-02,Retainer payment,6336.82,Checking,Sales Income
2025-01-02,Project deposit,4468.64,Checking,Sales Income
2025-01-02,Marketing,-476.44,Business Checking,Marketing
2025-01-03,Retainer payment,5113.45,Checking,Sales Income
2025-01-03,Hosting,-108.6,Operating Checking,Hosting
2025-01-03,Payroll,-3302.6,Business Checking,Payroll
2025-01-03,Fuel,-103.2,Operating Checking,Fuel
2025-01-03,Fuel,-185.24,Business Checking,Fuel
2025-01-04,Team lunch,-111.2,Business Checking,Meals
2025-01-04,Supplies,-408.62,Business Checking,Supplies
2025-01-05,Gas,-147.4,Checking,Fuel
2025-01-05,Hosting,-376.64,Operating Checking,Hosting
2025-01-05,Project deposit,3772.56,Business Checking,Sales Income
2025-01-06,Project deposit,4565.35,Business Checking,Sales Income
2025-01-06,Invoice paid,5845.19,Checking,Sales Income
2025-01-07,Meals,-65.08,Checking,Meals
2025-01-08,Project deposit,4540.09,Checking,Sales Income
2025-01-08,Project deposit,2967.51,Business Checking,Sales Income
2025-01-08,Team lunch,-63.58,Operating Checking,Meals
2025-01-08,Insurance premium,-312.4,Business Checking,Insurance
2025-01-09,Marketing,-332.07,Checking,Marketing
2025-01-09,Shop supplies,-366.49,Operating Checking,Supplies
2025-01-09,Project deposit,8521.26,Business Checking,Sales Income
2025-01-09,Retainer payment,1610.74,Business Checking,Sales Income
2025-01-09,Marketing,-399.13,Checking,Marketing
2025-01-10,Project deposit,3660.7,Operating Checking,Sales Income
2025-01-10,Payroll,-3593.22,Business Checking,Payroll
2025-01-10,Project deposit,7696.28,Business Checking,Sales Income
2025-01-11,Insurance premium,-116.4,Business Checking,Insurance
2025-01-12,Invoice paid,7376.77,Checking,Sales Income
2025-01-13,Project deposit,7651.33,Checking,Sales Income
2025-01-13,Shop supplies,-318.39,Checking,Supplies
2025-01-13,Marketing,-278.46,Checking,Marketing
2025-01-16,Project deposit,3449.82,Operating Checking,Sales Income
2025-01-16,Gas,-166.09,Checking,Fuel
2025-01-16,Software subscription,-419.76,Checking,Hosting
2025-01-16,Invoice paid,6736.52,Business Checking,Sales Income
2025-01-16,Shop supplies,-384.14,Checking,Supplies
2025-01-17,Supplies,-58.72,Business Checking,Supplies
2025-01-17,Client payment,1666.06,Checking,Sales Income
2025-01-17,Payroll run,-3703.9,Checking,Payroll
2025-01-17,Invoice paid,2845.15,Checking,Sales Income
2025-01-19,Cloud services,-256.73,Business Checking,Hosting
2025-01-19,Retainer payment,2940.61,Operating Checking,Sales Income
2025-01-19,Insurance premium,-272.75,Business Checking,Insurance
2025-01-20,Cloud services,-110.07,Operating Checking,Hosting
2025-01-20,Client payment,4186.27,Business Checking,Sales Income
2025-01-22,Materials,-127.65,Checking,Supplies
2025-01-22,Insurance premium,-249.96,Checking,Insurance
2025-01-22,Meals,-67.44,Checking,Meals
2025-01-23,Supplies,-496.07,Checking,Supplies
2025-01-23,Marketing,-117.26,Checking,Marketing
2025-01-23,Materials,-114.6,Operating Checking,Supplies
2025-01-23,Retainer payment,1155.97,Operating Checking,Sales Income
2025-01-24,Payroll run,-3780.58,Operating Checking,Payroll
2025-01-24,Team lunch,-99.24,Checking,Meals
2025-01-24,Team lunch,-164.31,Checking,Meals
2025-01-24,Supplies,-185.83,Business Checking,Supplies
2025-01-25,Marketing,-702.56,Checking,Marketing
2025-01-25,Marketing,-95.92,Operating Checking,Marketing
2025-01-25,Marketing,-104.58,Checking,Marketing
2025-01-26,Invoice paid,8066.17,Business Checking,Sales Income
2025-01-26,Marketing,-471.09,Operating Checking,Marketing
2025-01-27,Supplies,-168.84,Business Checking,Supplies
2025-01-27,Team lunch,-61.27,Checking,Meals
2025-01-28,Project deposit,2308.9,Business Checking,Sales Income
2025-01-28,Marketing,-758.9,Checking,Marketing
2025-01-28,Ads spend,-199.37,Checking,Marketing
2025-01-28,Fuel,-255.01,Operating Checking,Fuel
2025-01-29,Invoice paid,1907.58,Operating Checking,Sales Income
2025-01-29,Project deposit,7194.74,Business Checking,Sales Income
2025-01-31,Ads spend,-197.57,Checking,Marketing
2025-01-31,Client payment,3000.81,Checking,Sales Income
2025-01-31,Team lunch,-113.67,Business Checking,Meals
2025-01-31,Payroll,-3255.89,Operating Checking,Payroll
2025-02-01,Rent,-1758.86,Operating Checking,Rent
2025-02-02,Team lunch,-83.51,Business Checking,Meals
2025-02-02,Materials,-371.77,Checking,Supplies
2025-02-04,Client payment,3424.19,Operating Checking,Sales Income
2025-02-04,Invoice paid,2237.37,Checking,Sales Income
2025-02-04,Ads spend,-73.17,Business Checking,Marketing
2025-02-05,Invoice paid,6693.63,Checking,Sales Income
2025-02-05,Retainer payment,7691.44,Business Checking,Sales Income
2025-02-05,Meals,-53.36,Operating Checking,Meals
2025-02-06,Insurance premium,-132.37,Operating Checking,Insurance
2025-02-06,Client payment,2319.66,Operating Checking,Sales Income
2025-02-06,Invoice paid,7542.71,Operating Checking,Sales Income
2025-02-07,Insurance premium,-373.1,Checking,Insurance
2025-02-07,Payroll run,-3625.68,Checking,Payroll
2025-02-08,Retainer payment,5893.38,Business Checking,Sales Income
2025-02-08,Insurance premium,-357.24,Operating Checking,Insurance
2025-02-09,Ads spend,-733.31,Checking,Marketing
2025-02-09,Cloud services,-116.54,Checking,Hosting
2025-02-10,Marketing,-748.77,Operating Checking,Marketing
2025-02-10,Invoice paid,1152.53,Operating Checking,Sales Income
2025-02-10,Marketing,-182.93,Business Checking,Marketing
2025-02-10,Gas,-216.66,Operating Checking,Fuel
2025-02-11,Cloud services,-409.53,Business Checking,Hosting
2025-02-11,Invoice paid,6306.31,Checking,Sales Income
2025-02-11,Fuel,-200.26,Business Checking,Fuel
2025-02-11,Gas,-160.92,Operating Checking,Fuel
2025-02-12,Meals,-161.65,Business Checking,Meals
2025-02-12,Gas,-86.16,Operating Checking,Fuel
2025-02-12,Marketing,-261.93,Operating Checking,Marketing
2025-02-12,Invoice paid,4416.4,Business Checking,Sales Income
2025-02-13,Meals,-40.85,Operating Checking,Meals
2025-02-13,Ads spend,-520.5,Checking,Marketing
2025-02-13,Supplies,-391.26,Checking,Supplies
2025-02-14,Invoice paid,4211.01,Business Checking,Sales Income
2025-02-14,Payroll,-1209.61,Operating Checking,Payroll
2025-02-15,Shop supplies,-119.83,Business Checking,Supplies
2025-02-15,Meals,-15.12,Operating Checking,Meals
2025-02-15,Invoice paid,1512.12,Checking,Sales Income
2025-02-15,Insurance premium,-410.14,Business Checking,Insurance
2025-02-16,Retainer payment,7788.31,Operating Checking,Sales Income
2025-02-16,Ads spend,-471.76,Business Checking,Marketing
2025-02-16,Team lunch,-154.07,Business Checking,Meals
2025-02-16,Shop supplies,-461.52,Business Checking,Supplies
2025-02-17,Insurance premium,-578.42,Operating Checking,Insurance
2025-02-17,Materials,-482.53,Business Checking,Supplies
2025-02-18,Invoice paid,2272.29,Checking,Sales Income
2025-02-18,Materials,-172.17,Business Checking,Supplies
2025-02-18,Project deposit,4214.17,Business Checking,Sales Income
2025-02-18,Hosting,-124.64,Operating Checking,Hosting
2025-02-19,Retainer payment,7464.05,Business Checking,Sales Income
2025-02-19,Marketing,-721.57,Business Checking,Marketing
2025-02-19,Insurance premium,-160.14,Operating Checking,Insurance
2025-02-19,Insurance premium,-467.44,Operating Checking,Insurance
2025-02-20,Insurance premium,-276.59,Operating Checking,Insurance
2025-02-21,Marketing,-519.89,Business Checking,Marketing
2025-02-21,Ads spend,-428.06,Business Checking,Marketing
2025-02-21,Retainer payment,2145.53,Checking,Sales Income
2025-02-21,Wages,-2248.24,Business Checking,Payroll
2025-02-21,Team lunch,-40.12,Checking,Meals
2025-02-22,Invoice paid,3949.16,Operating Checking,Sales Income
2025-02-23,Gas,-224.89,Operating Checking,Fuel
2025-02-23,Insurance premium,-300.93,Operating Checking,Insurance
2025-02-24,Client payment,2801.49,Business Checking,Sales Income
2025-02-26,Shop supplies,-482.18,Checking,Supplies
2025-02-27,Project deposit,3038.77,Checking,Sales Income
2025-02-27,Client payment,5629.66,Checking,Sales Income
2025-02-27,Insurance premium,-610.07,Operating Checking,Insurance
2025-02-28,Payroll,-3889.45,Business Checking,Payroll
2025-02-28,Retainer payment,5406.65,Operating Checking,Sales Income
2025-03-01,Rent,-2312.21,Checking,Rent
2025-03-02,Client payment,7832.29,Business Checking,Sales Income
2025-03-03,Project deposit,5355.41,Checking,Sales Income
2025-03-04,Cloud services,-394.34,Checking,Hosting
2025-03-04,Insurance premium,-869.41,Business Checking,Insurance
2025-03-05,Ads spend,-656.15,Operating Checking,Marketing
2025-03-05,Shop supplies,-446.93,Operating Checking,Supplies
2025-03-05,Insurance premium,-764.07,Operating Checking,Insurance
2025-03-06,Invoice paid,8076.72,Operating Checking,Sales Income
2025-03-07,Wages,-2909.55,Operating Checking,Payroll
2025-03-07,Project deposit,8066.5,Business Checking,Sales Income
2025-03-07,Cloud services,-262.89,Checking,Hosting
2025-03-07,Insurance premium,-285.45,Operating Checking,Insurance
2025-03-10,Hosting,-114.43,Operating Checking,Hosting
2025-03-10,Project deposit,3097.78,Operating Checking,Sales Income
2025-03-10,Project deposit,5517.09,Operating Checking,Sales Income
2025-03-10,Insurance premium,-553.04,Business Checking,Insurance
2025-03-10,Insurance premium,-623.8,Operating Checking,Insurance
2025-03-11,Gas,-221.26,Operating Checking,Fuel
2025-03-11,Fuel,-96.09,Operating Checking,Fuel
2025-03-12,Project deposit,5798.78,Checking,Sales Income
2025-03-12,Project deposit,7694.5,Checking,Sales Income
2025-03-12,Materials,-149.42,Operating Checking,Supplies
2025-03-13,Shop supplies,-198.8,Business Checking,Supplies
2025-03-13,Supplies,-182.73,Business Checking,Supplies
2025-03-13,Invoice paid,6639.86,Business Checking,Sales Income
2025-03-14,Client payment,3857.51,Operating Checking,Sales Income
2025-03-14,Retainer payment,3417.85,Operating Checking,Sales Income
2025-03-14,Payroll run,-3805.38,Checking,Payroll
2025-03-15,Software subscription,-293.5,Checking,Hosting
2025-03-15,Cloud services,-384.18,Operating Checking,Hosting
2025-03-15,Shop supplies,-110.79,Operating Checking,Supplies
2025-03-16,Cloud services,-286.49,Business Checking,Hosting
2025-03-17,Meals,-31.37,Business Checking,Meals
2025-03-17,Insurance premium,-828.63,Business Checking,Insurance
2025-03-17,Insurance premium,-358.2,Business Checking,Insurance
2025-03-18,Marketing,-106.3,Operating Checking,Marketing
2025-03-18,Meals,-28.4,Checking,Meals
2025-03-18,Retainer payment,6577.09,Operating Checking,Sales Income
2025-03-20,Invoice paid,6357.23,Operating Checking,Sales Income
2025-03-20,Team lunch,-61.65,Checking,Meals
2025-03-20,Team lunch,-53.51,Business Checking,Meals
2025-03-20,Invoice paid,2095.26,Business Checking,Sales Income
2025-03-21,Payroll run,-1646.97,Checking,Payroll
2025-03-22,Gas,-192.69,Operating Checking,Fuel
2025-03-23,Team lunch,-65.18,Operating Checking,Meals
2025-03-23,Ads spend,-454.99,Checking,Marketing
2025-03-23,Client payment,5908.97,Checking,Sales Income
2025-03-23,Ads spend,-79.9,Business Checking,Marketing
2025-03-24,Meals,-152.93,Business Checking,Meals
2025-03-24,Invoice paid,5694.73,Operating Checking,Sales Income
2025-03-25,Gas,-83.09,Business Checking,Fuel
2025-03-25,Insurance premium,-379.98,Checking,Insurance
2025-03-25,Retainer payment,4410.83,Operating Checking,Sales Income
2025-03-25,Insurance premium,-875.86,Operating Checking,Insurance
2025-03-26,Gas,-120.67,Business Checking,Fuel
2025-03-26,Project deposit,1622.79,Business Checking,Sales Income
2025-03-26,Software subscription,-323.33,Operating Checking,Hosting
2025-03-26,Marketing,-77.52,Operating Checking,Marketing
2025-03-27,Retainer payment,5496.54,Checking,Sales Income
2025-03-27,Meals,-94.98,Business Checking,Meals
2025-03-27,Invoice paid,7434.65,Operating Checking,Sales Income
2025-03-27,Meals,-87.94,Checking,Meals
2025-03-27,Gas,-180.54,Operating Checking,Fuel
2025-03-28,Payroll,-1874.1,Operating Checking,Payroll
2025-03-28,Project deposit,3476.52,Operating Checking,Sales Income
2025-03-28,Retainer payment,7690.72,Business Checking,Sales Income
2025-03-29,Materials,-521.82,Operating Checking,Supplies
2025-03-29,Project deposit,8487.14,Checking,Sales Income
2025-03-29,Insurance premium,-310.11,Operating Checking,Insurance
2025-03-29,Shop supplies,-555.07,Business Checking,Supplies
2025-03-30,Team lunch,-64.26,Checking,Meals
2025-03-30,Project deposit,4751.69,Checking,Sales Income
2025-03-30,Insurance premium,-540.09,Operating Checking,Insurance
2025-03-31,Ads spend,-337.23,Checking,Marketing
2025-03-31,Retainer payment,7008.7,Operating Checking,Sales Income
